age,gender,year,deaths,crude_rate_per_100k,population,RIDAGEYR,RIAGENDR,SEQN,BMXWT,BMXHT,BMXBMI,BMXLEG,BMXARML,BMXARMC,BMXWAIST,BPXSY1,BPXDI1,BPXSY2,BPXDI2,BPXSY3,BPXDI3,LBXTR,LBDTRSI,LBDLDL,LBDLDLSI,LBXTC,LBDTCSI,LBXGLU,LBXGH,LBDHDDSI,LBDHDD,LBDGLUSI,bpsx_mean,bpdi_mean,RIDRETH1_1.0,RIDRETH1_2.0,RIDRETH1_3.0,RIDRETH1_4.0,RIDRETH1_5.0,RIDRETH1_nan,DMDEDUC2_1.0,DMDEDUC2_2.0,DMDEDUC2_3.0,DMDEDUC2_4.0,DMDEDUC2_5.0,DMDEDUC2_7.0,DMDEDUC2_9.0,DMDEDUC2_nan,SMQ020_1.0,SMQ020_2.0,SMQ020_7.0,SMQ020_9.0,SMQ020_nan,cluster_kmeans,cluster_hierarchical,cluster_dbscan
13.0,1,2011,388.0,18.416357895084367,2106781.0,13.0,1,45,59.68444444444445,164.6511111111111,21.717777777777776,39.94047619047619,35.45909090909091,26.54318181818182,76.85813953488372,107.8048780487805,54.4390243902439,107.17073170731707,55.170731707317074,108.4102564102564,53.84615384615385,72.02777777777777,0.8131944444444444,86.08333333333333,2.226138888888889,151.61111111111111,3.9208333333333334,102.39473684210526,5.523076923076923,1.3227777777777776,51.138888888888886,5.683868421052631,107.63492063492065,54.76190476190476,0.2,0.0444444444444444,0.2,0.2888888888888888,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2013,380.0,17.780390783386988,2137339.5,13.0,1,48,60.91276595744681,165.10638297872342,22.227659574468085,40.46382978723404,35.9404255319149,27.314893617021276,78.49787234042553,107.91304347826087,53.65217391304348,108.2608695652174,53.73913043478261,107.21739130434784,49.47826086956522,72.0952380952381,0.813952380952381,79.07142857142857,2.0447380952380954,145.66666666666666,3.766904761904762,96.72727272727272,5.243181818181818,1.349047619047619,52.19047619047619,5.369318181818182,107.79710144927536,52.28985507246376,0.2916666666666667,0.0625,0.1666666666666666,0.3125,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2015,407.5,19.349905439707225,2105445.5,13.0,1,49,60.42857142857143,161.71836734693878,22.983673469387757,39.2530612244898,35.234693877551024,27.5,79.53877551020409,109.36170212765956,55.4468085106383,110.13333333333334,56.44444444444444,110.3913043478261,54.34782608695652,77.48780487804878,0.8748536585365854,83.41463414634147,2.157170731707317,150.95555555555555,3.903555555555556,97.62222222222222,5.286666666666667,1.3651111111111112,52.8,5.419333333333333,110.11347517730496,55.33333333333333,0.1020408163265306,0.1836734693877551,0.3673469387755102,0.2857142857142857,0.0612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2017,407.5,19.332267409489752,2107330.5,13.0,1,28,58.08148148148148,164.17407407407407,21.45925925925926,40.71923076923077,35.753846153846155,26.71153846153846,77.05,107.04,52.72,106.96,49.04,106.25,52.583333333333336,60.91304347826087,0.6877391304347826,82.21739130434783,2.1262173913043476,145.6086956521739,3.764782608695653,100.58333333333331,5.391666666666667,1.326086956521739,51.26086956521739,5.582916666666667,106.72,51.6,0.1785714285714285,0.1785714285714285,0.1785714285714285,0.2857142857142857,0.1785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2005,723.5,32.222537722311046,2245837.0,14.0,1,57,59.487719298245615,167.4842105263158,20.883859649122808,40.63214285714286,36.05714285714286,26.894642857142856,75.29821428571428,110.12244897959184,56.08163265306123,110.95,54.65,109.46341463414636,56.04878048780488,71.95652173913044,0.8124130434782609,84.76086956521739,2.191913043478261,153.7872340425532,3.975957446808511,95.5744680851064,5.179166666666666,1.401063829787234,54.191489361702125,5.305212765957447,109.71604938271604,56.05555555555556,0.2105263157894736,0.0526315789473684,0.2631578947368421,0.4210526315789473,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2007,632.0,28.784985102151495,2195556.0,14.0,1,40,61.185,169.635,21.0135,40.90769230769231,36.37948717948718,26.905128205128204,75.52051282051282,111.8974358974359,59.38461538461539,110.63157894736842,59.26315789473684,108.6842105263158,58.1578947368421,79.11111111111111,0.8931944444444445,79.86111111111111,2.0652500000000003,148.91666666666666,3.850555555555556,97.52777777777776,5.286111111111111,1.377222222222222,53.25,5.413722222222223,110.3760683760684,58.75213675213676,0.175,0.175,0.375,0.2,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2009,539.0,25.080690630022698,2148986.0,14.0,1,41,70.07948717948717,168.07692307692307,24.69487179487179,40.925714285714285,36.78378378378378,29.41891891891892,83.14054054054054,107.63157894736842,56.63157894736842,108.16216216216216,54.5945945945946,107.74358974358974,54.76923076923077,79.05405405405405,0.8925675675675675,84.86486486486487,2.1945405405405407,151.97297297297297,3.928918918918919,94.56756756756756,5.183783783783784,1.3267567567567569,51.2972972972973,5.249324324324324,107.89166666666668,55.75833333333334,0.2926829268292683,0.1219512195121951,0.3414634146341463,0.1707317073170731,0.073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2011,517.0,24.35550531020297,2122872.5,14.0,1,46,67.43863636363636,170.66136363636363,23.043181818181814,41.19285714285714,36.66279069767442,28.813953488372093,79.93571428571428,110.4390243902439,60.24390243902439,108.8095238095238,59.142857142857146,108.85714285714286,58.285714285714285,69.23255813953489,0.7816046511627908,80.69767441860465,2.086860465116279,145.30232558139534,3.756279069767442,94.34883720930232,5.3,1.312093023255814,50.72093023255814,5.2372093023255815,109.25581395348836,59.100775193798455,0.1521739130434782,0.0434782608695652,0.1956521739130435,0.3695652173913043,0.2391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2013,507.0,23.92997680016726,2118739.5,14.0,1,38,68.48684210526316,170.19736842105263,23.457894736842103,41.958333333333336,37.56944444444444,29.03611111111111,82.63611111111112,111.89189189189187,54.32432432432432,109.94594594594597,54.0,110.86486486486488,51.45945945945946,72.91666666666667,0.8231666666666667,81.5,2.107611111111111,145.94444444444446,3.774444444444444,95.91666666666669,5.272222222222222,1.2908333333333333,49.888888888888886,5.324277777777778,110.90090090090092,53.261261261261254,0.2368421052631578,0.0263157894736842,0.2368421052631578,0.3157894736842105,0.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
14.0,1,2015,527.0,24.51678391550204,2150223.5,14.0,1,40,70.25,169.1275,24.4025,41.55128205128205,37.00526315789474,29.539473684210527,82.92564102564103,113.82352941176472,58.47058823529411,114.11428571428571,57.94285714285714,114.23529411764706,58.52941176470589,67.21212121212122,0.7588181818181818,80.33333333333333,2.0773939393939393,145.83333333333334,3.7708333333333335,105.69444444444444,5.419444444444444,1.382777777777778,53.5,5.866666666666666,114.62857142857143,58.36190476190476,0.2,0.15,0.25,0.275,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
